#(dyne/cm2) (K)
Pressure	Temp
3.1017e+05   4.9500e+03
2.7977e+05   4.9500e+03
2.5247e+05   4.9500e+03
2.2767e+05   4.9500e+03
2.0531e+05   4.9500e+03
1.8506e+05   4.9500e+03
1.6684e+05   4.9500e+03
1.5031e+05   4.9500e+03
1.3549e+05   4.9500e+03
1.2204e+05   4.9500e+03
1.0998e+05   4.9500e+03
9.9061e+04   4.9500e+03
8.9228e+04   4.9500e+03
8.0390e+04   4.9500e+03
7.2427e+04   4.9500e+03
6.5298e+04   4.9500e+03
5.8885e+04   4.9500e+03
5.3211e+04   4.9500e+03
4.8095e+04   4.9500e+03
4.3511e+04   4.9500e+03
3.9373e+04   4.9500e+03
3.5621e+04   4.9500e+03
3.2233e+04   4.9500e+03
2.9175e+04   4.9500e+03
2.6406e+04   4.9500e+03
2.3906e+04   4.9500e+03
2.1647e+04   4.9500e+03
1.9616e+04   4.9500e+03
1.7775e+04   4.9500e+03
1.6110e+04   4.9500e+03
1.4605e+04   4.9500e+03
1.3247e+04   4.9500e+03
1.2015e+04   4.9500e+03
1.0902e+04   4.9500e+03
9.8948e+03   4.9500e+03
8.9848e+03   4.9500e+03
8.1585e+03   4.9500e+03
7.4218e+03   4.9500e+03
6.7517e+03   4.9500e+03
6.1519e+03   4.9500e+03
5.6081e+03   4.9500e+03
5.1253e+03   4.9500e+03
4.6862e+03   4.9500e+03
4.2926e+03   4.9500e+03
3.9321e+03   4.9500e+03
3.6085e+03   4.9500e+03
3.3116e+03   4.9500e+03
3.0426e+03   4.9500e+03
2.7961e+03   4.9500e+03
2.5731e+03   4.9500e+03
2.3685e+03   4.9500e+03
2.1811e+03   4.9500e+03
2.0086e+03   4.9500e+03
1.8522e+03   4.9500e+03
1.7088e+03   4.9500e+03
1.5772e+03   4.9500e+03
1.4558e+03   4.9500e+03
1.3455e+03   4.9500e+03
1.2436e+03   4.9500e+03
1.1504e+03   4.9500e+03
1.0643e+03   4.9500e+03
9.8546e+02   4.9500e+03
9.1249e+02   4.9500e+03
8.4532e+02   4.9500e+03
7.8328e+02   4.9500e+03
7.2647e+02   4.9500e+03
6.7393e+02   4.9500e+03
6.2476e+02   4.9500e+03
5.7918e+02   4.9500e+03
5.3680e+02   4.9500e+03
4.9752e+02   4.9500e+03
4.6048e+02   4.9500e+03
4.2620e+02   4.9500e+03
3.9392e+02   4.9500e+03
3.6409e+02   4.9500e+03
3.3513e+02   4.9500e+03
3.0840e+02   4.9500e+03
2.8217e+02   4.9500e+03
2.5811e+02   4.9500e+03
2.3475e+02   4.9500e+03
2.1346e+02   4.9500e+03
1.9382e+02   4.9500e+03
1.7600e+02   4.9500e+03
1.5963e+02   4.9500e+03
1.4478e+02   4.9500e+03
1.3110e+02   4.9500e+03
1.1872e+02   4.9500e+03
1.0740e+02   4.9500e+03
9.7164e+01   4.9500e+03
8.7722e+01   4.9500e+03
7.9197e+01   4.9500e+03
7.1336e+01   4.9500e+03
6.4255e+01   4.9500e+03
5.7800e+01   5.0772e+03
5.1956e+01   5.2099e+03
4.6751e+01   5.2588e+03
4.2074e+01   5.3041e+03
3.7766e+01   5.3223e+03
3.3900e+01   5.3394e+03
3.0300e+01   5.3278e+03
2.7083e+01   5.3149e+03
2.4090e+01   5.2958e+03
2.1426e+01   5.2765e+03
1.9014e+01   5.2732e+03
1.6876e+01   5.2706e+03
1.4993e+01   5.2878e+03
1.3321e+01   5.3058e+03
1.1840e+01   5.3253e+03
1.0521e+01   5.3449e+03
9.3838e+00   5.3663e+03
8.3699e+00   5.3879e+03
7.4689e+00   5.3945e+03
6.6657e+00   5.4006e+03
5.9415e+00   5.3938e+03
5.2955e+00   5.3865e+03
4.7196e+00   5.3691e+03
4.2069e+00   5.3513e+03
3.7561e+00   5.3301e+03
3.3543e+00   5.3088e+03
3.0025e+00   5.2963e+03
2.6877e+00   5.2842e+03
2.4103e+00   5.2805e+03
2.1622e+00   5.2770e+03
1.9402e+00   5.2692e+03
1.7406e+00   5.2612e+03
1.5631e+00   5.2516e+03
1.4038e+00   5.2420e+03
1.2698e+00   5.2340e+03
1.1489e+00   5.2261e+03
1.0355e+00   5.2092e+03
9.3310e-01   5.1919e+03
8.4479e-01   5.1957e+03
7.6512e-01   5.2003e+03
6.9490e-01   5.2158e+03
6.3117e-01   5.2316e+03
5.7521e-01   5.2531e+03
5.2446e-01   5.2747e+03
4.7889e-01   5.2992e+03
4.3737e-01   5.3238e+03
4.0030e-01   5.3511e+03
3.6645e-01   5.3786e+03
3.3617e-01   5.4074e+03
3.0846e-01   5.4363e+03
2.8426e-01   5.4677e+03
2.6196e-01   5.4991e+03
2.4238e-01   5.5312e+03
2.2426e-01   5.5633e+03
2.0810e-01   5.5951e+03
