#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
89        	2         	ok              	2.6890000000e-04	4.9500000000e+03	3.9346372604e+14	3.9346117108e+14	1.2847812264e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	2         	ok              	2.2680000000e-04	4.9500000000e+03	3.3186122112e+14	3.3185940350e+14	1.2847799204e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	2         	ok              	1.9140000000e-04	4.9500000000e+03	2.8006253717e+14	2.8006124263e+14	1.2847788222e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	2         	ok              	1.6150000000e-04	4.9500000000e+03	2.3631174032e+14	2.3631081863e+14	1.2847778946e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	2         	ok              	1.3620000000e-04	4.9500000000e+03	1.9929188463e+14	1.9929122908e+14	1.2847771097e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	2         	ok              	1.1490000000e-04	4.9500000000e+03	1.6812500562e+14	1.6812453907e+14	1.2847764488e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	2         	ok              	9.6960000000e-05	4.9500000000e+03	1.4187461691e+14	1.4187428467e+14	1.2847758922e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	2         	ok              	8.1800000000e-05	4.9500000000e+03	1.1969203191e+14	1.1969179544e+14	1.2847754218e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	2         	ok              	6.9010000000e-05	4.9500000000e+03	1.0097731749e+14	1.0097714919e+14	1.2847750250e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	2         	ok              	5.8220000000e-05	5.0688000000e+03	8.3192424427e+13	8.3192336618e+13	1.2847742397e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
